,Unnamed: 0,Height,Width,Area,Perimeter,A/P,A/(A+P),A/(W*H),Diameter,Label
1983,115,63.38769596696192,25.179356624028344,1206.5,153.9827551841736,7.8352929752227505,0.8868175619298252,0.7559232985902045,39.19392185942833,0
1984,116,74.68600939935136,23.259406699226016,1374.5,175.92387926578522,7.813038262551099,0.8865317532718244,0.7912374901294622,41.83381113690792,0
1985,117,62.64982043070834,24.33105012119288,1156.0,154.225395321846,7.4955230141417095,0.882290943319747,0.7583630248995924,38.36489168124743,0
1986,118,68.47627326307996,24.186773244895647,1320.5,167.92388010025024,7.863682039812706,0.8871800685642452,0.7972974151975769,41.00381468623112,0
1987,119,63.63961030678929,21.93171219946131,1146.5,151.237588763237,7.580787351713535,0.883460577798807,0.8214365240791868,38.206925262821976,0
1988,120,73.53910524340094,22.62741699796952,1238.0,169.9655108451843,7.2838306656675265,0.8792829017927036,0.7439903846153846,39.702273944726784,0
1989,121,65.19202405202647,24.35159132377184,1280.0,162.85281169414517,7.8598581546382835,0.8871313758588242,0.8062842158214861,40.370120352322566,0
1990,122,66.88796603276258,22.47220505424423,1178.5,161.23758804798123,7.30908973687513,0.8796498736122594,0.7840358259691687,38.73645316069077,0
1991,123,73.17103251970688,19.02629759044045,1123.0,166.56854116916656,6.741969354582293,0.8708338984307497,0.8066521349273978,37.813331098140345,0
1992,124,70.22819946431775,25.632011235952593,1375.0,168.85281169414517,8.143186875031923,0.8906289444076895,0.7638506973087891,41.84141935942002,0
1993,125,77.83315488916018,20.518284528683196,1288.5,179.52186119556427,7.177398849471358,0.8777117249130332,0.8068238738554367,40.50393997367735,0
1994,126,76.6550715869472,27.166155414412252,1562.0,179.88224983215332,8.683458214790452,0.896731108058833,0.7500875465374189,44.595965836343595,0
1995,127,73.78346698278686,25.238858928247925,1418.0,175.137082695961,8.096514902338853,0.8900677885172392,0.7614606345647235,42.490630431125176,0
1996,128,77.4919350642375,24.35159132377184,1411.5,181.09545278549197,7.7942321482358015,0.8862891059567254,0.7479921325364591,42.39313172429801,0
1997,129,73.53910524340094,22.84731931759173,1249.5,171.0954532623291,7.302940996826059,0.8795607483682869,0.7436741187571355,39.88624839649106,0
1998,130,78.63841300535,23.19482700948641,1418.5,181.296462893486,7.824201186061676,0.8866752945774223,0.777684533501658,42.49812106678163,0
1999,131,71.55417527999327,25.94224354214569,1518.5,176.40916073322296,8.607829625675569,0.8959182209759797,0.8180357498564941,43.97060664444311,0
2000,132,72.3671196055225,25.495097567963924,1489.5,175.29646337032318,8.497033946733719,0.8947039669849841,0.8073141086191115,43.548711828055545,0
2001,133,69.8927750200262,25.29822128134704,1385.5,173.09545290470123,8.004254165837594,0.8889413846408257,0.7835816536308503,42.00087367222934,0
